2021/06/20  08:59:55-09:00:33  YY 66  [wm3 Κέρωμα - Γυάλισμα 40.0, wm4 Καθαρισμός κινητήρα 10.0]  50.0€
2021/06/20  09:06:17-09:06:41  GGV 22  [wc4 Πλύσιμο εξωτερικό σπέσιαλ 9.0, wc7 Βιολογικός καθαρισμός εσωτερικός 80.0, wc8 Κέρωμα - Γυάλισμα 80.0, wc9 Καθαρισμός κινητήρα 20.0, wc10 Πλύσιμο σασί 3.0]  192.0€
2021/06/20  09:06:28-09:06:45  GGF 677  [wm4 Καθαρισμός κινητήρα 10.0]  10.0€
2021/06/20  09:08:21-09:08:30  FF 1  [wm2 Πλύσιμο εξωτερικό σπέσιαλ 8.0, wm3 Κέρωμα - Γυάλισμα 40.0, wm4 Καθαρισμός κινητήρα 10.0]  58.0€
2021/06/20  09:08:12-09:08:38  XRR 22  [wc4 Πλύσιμο εξωτερικό σπέσιαλ 9.0, wc5 Πλύσιμο εσωτερικό σπέσιαλ 8.0, wc8 Κέρωμα - Γυάλισμα 80.0, wc9 Καθαρισμός κινητήρα 20.0, wc10 Πλύσιμο σασί 3.0]  120.0€
2021/06/20  09:16:30-09:16:45  GDH 55  [wc5 Πλύσιμο εσωτερικό σπέσιαλ 8.0, wc8 Κέρωμα - Γυάλισμα 80.0, wc9 Καθαρισμός κινητήρα 20.0, wc10 Πλύσιμο σασί 3.0]  111.0€
2021/06/20  09:44:08-09:44:12  DGGS 885  [wc4 Πλύσιμο εξωτερικό σπέσιαλ 9.0]  9.0€
2021/06/20  09:43:59-09:44:13  HHH 55  [wm2 Πλύσιμο εξωτερικό σπέσιαλ 8.0, wm3 Κέρωμα - Γυάλισμα 40.0]  48.0€
2021/06/20  09:47:09-09:47:16  FRJ 444  [wc6 Πλύσιμο εσωτερικό και εξωτερικό σπέσιαλ 15.0, wc8 Κέρωμα - Γυάλισμα 80.0, wc9 Καθαρισμός κινητήρα 20.0]  115.0€
2021/06/20  09:46:59-09:47:19  XDD 555  [wc8 Κέρωμα - Γυάλισμα 80.0, wc9 Καθαρισμός κινητήρα 20.0]  100.0€
2021/06/20  09:56:33-09:56:37  HVF 55  [wm4 Καθαρισμός κινητήρα 10.0]  10.0€
2021/06/20  09:56:46-09:56:57  HHH 888  [wc7 Βιολογικός καθαρισμός εσωτερικός 80.0, wc8 Κέρωμα - Γυάλισμα 80.0, wc9 Καθαρισμός κινητήρα 20.0]  180.0€
2021/06/20  09:56:54-09:56:58  HHGG 55  [wm4 Καθαρισμός κινητήρα 10.0]  10.0€
2021/06/20  10:16:34-10:16:39  VU 555  [wc7 Βιολογικός καθαρισμός εσωτερικός 80.0, wc8 Κέρωμα - Γυάλισμα 80.0]  160.0€
2021/06/20  10:16:25-10:16:49  RRXXF 99  [wj6 Πλύσιμο εσωτερικό και εξωτερικό σπέσιαλ 17.0, wj8 Κέρωμα - Γυάλισμα 90.0]  107.0€
2021/06/20  10:17:06-10:17:09  NH 55  [wm4 Καθαρισμός κινητήρα 10.0]  10.0€
2021/06/20  10:16:57-10:17:12  TGG 55  [wc6 Πλύσιμο εσωτερικό και εξωτερικό σπέσιαλ 15.0]  15.0€
2021/06/20  10:25:41-10:25:46  GDUV 55776  [wc8 Κέρωμα - Γυάλισμα 80.0, wc9 Καθαρισμός κινητήρα 20.0, wc10 Πλύσιμο σασί 3.0]  103.0€
2021/06/20  10:26:54-10:27:16  FFFHU 4443  [wc6 Πλύσιμο εσωτερικό και εξωτερικό σπέσιαλ 15.0]  15.0€
2021/06/20  10:32:12-10:32:21  DDD 225  [wm2 Πλύσιμο εξωτερικό σπέσιαλ 8.0, wm3 Κέρωμα - Γυάλισμα 40.0]  48.0€
2021/06/20  10:32:04-10:32:24  CFFF 555  [wc7 Βιολογικός καθαρισμός εσωτερικός 80.0, wc8 Κέρωμα - Γυάλισμα 80.0]  160.0€
2021/06/20  13:45:55-13:46:15  VVV 88  [wm3 Κέρωμα - Γυάλισμα 40.0]  40.0€
2021/06/20  13:45:45-13:46:17  GFFD 555  [wc7 Βιολογικός καθαρισμός εσωτερικός 80.0]  80.0€
